species,lev_up,lev_low,lam,a_stein,e_up,e_low,g_up,g_low,xmin,xmax,note
H2O,0_0_0|13_4_9,0_0_0|12_3_10,17.50436,4.941,3645.56299,2823.60938,81,75.0,17.4962,17.5149,warm
H2O,0_0_0|8_6_3,0_0_0|7_3_4,17.56683,0.1536,2030.99402,1211.96313,51,45.0,17.5592,17.5739,
H2O,0_1_0|15_7_8,0_1_0|14_6_9,17.59626,35.12,7686.44434,6868.78369,93,87.0,17.5851,17.6062,
H2O,0_0_0|11_5_7,0_0_0|10_2_8,18.25429,2.805,2857.10107,2068.91577,23,21.0,18.2391,18.268,
H2O,0_0_0|15_7_9,0_0_0|14_6_8,19.12996,27.0,5214.38818,4462.28125,31,29.0,19.1162,19.1442,
H2O,0_0_0|11_3_8,0_0_0|10_2_9,19.24597,2.275,2608.82373,1861.25085,69,63.0,19.2355,19.2573,
H2O,0_0_0|10_5_6,0_0_0|9_2_7,19.34995,1.829,2472.85254,1729.29675,63,57.0,19.3368,19.365,
H2O,0_0_0|14_7_8,0_0_0|13_6_7,19.68805,27.3,4696.65332,3965.86646,87,81.0,19.6734,19.7018,
H2O,0_0_0|13_7_7,0_0_0|12_6_6,20.42595,27.03,4211.40771,3507.02124,27,25.0,20.4128,20.4397,fringe
H2O,0_0_0|7_4_3,0_0_0|6_1_6,20.66181,0.06752,1339.84241,643.4964,45,39.0,20.6513,20.6755,fringe
H2O,0_0_0|12_7_6,0_0_0|11_6_5,21.33317,26.27,3759.23608,3084.8042,75,69.0,21.319,21.3486,
H2O,0_0_0|17_6_12,0_0_0|16_5_11,21.61495,16.87,6073.13379,5407.49365,35,33.0,21.6021,21.6305,
H2O,0_0_0|15_6_10,0_0_0|14_5_9,21.7488,15.59,4953.98438,4292.44141,31,29.0,21.7336,21.7636,
H2O,0_0_0|11_4_7,0_0_0|10_3_8,22.08091,4.575,2732.24902,2080.65576,69,63.0,22.0648,22.0969,
H2O,0_0_0|12_6_6,0_0_0|11_5_7,22.13775,17.69,3507.02124,2857.10107,25,23.0,22.1239,22.152,
H2O,0_0_0|11_7_4,0_0_0|10_6_5,22.37473,25.29,3340.70435,2697.66797,69,63.0,22.3606,22.389,thick
H2O,0_0_0|12_6_7,0_0_0|11_5_6,22.99881,16.51,3501.69531,2876.10791,75,69.0,22.981,23.015,
H2O,0_0_0|10_6_5,0_0_0|10_3_8,23.31846,0.09003,2697.66797,2080.65576,63,63.0,23.3049,23.3296,
H2O,0_0_0|8_3_6,0_0_0|7_0_7,23.81676,0.609,1447.57629,843.47357,51,45.0,23.802,23.8313,cold
H2O,0_0_0|8_4_5,0_0_0|7_1_6,23.89518,1.038,1615.32715,1013.20685,51,45.0,23.8801,23.9094,cold
H2O,0_1_0|16_5_12,0_1_0|15_4_11,24.05845,13.76,7640.25049,7042.21631,99,93.0,24.0445,24.0713,
H2O,0_1_0|9_3_6,0_1_0|8_2_7,24.41975,2.422,4179.17285,3589.98706,57,51.0,24.4041,24.4333,
H2O,0_1_0|9_6_3,0_1_0|8_5_4,24.91403,18.64,4778.19727,4200.7002,57,51.0,24.9039,24.9254,v1-1
H2O,0_0_0|10_6_5,0_0_0|9_5_4,25.14613,16.05,2697.66772,2125.50122,63,57.0,25.1311,25.1581,
H2O,0_0_0|10_5_5,0_0_0|9_4_6,26.05384,9.895,2481.46631,1929.23413,21,19.0,26.0396,26.0718,
H2O,0_0_0|13_5_9,0_0_0|12_4_8,26.25519,9.332,3721.43921,3173.44189,27,25.0,26.242,26.2688,
H2O,0_0_0|9_6_4,0_0_0|8_5_3,26.64294,15.33,2346.99854,1806.97644,19,17.0,26.63,26.6576,
H2O,0_0_0|11_4_7,0_0_0|11_1_10,26.72651,0.1197,2732.24878,2193.91577,69,69.0,26.7172,26.7379,
H2O,0_0_0|17_3_14,0_0_0|16_4_13,26.90847,15.93,5483.08789,4948.39502,105,99.0,26.8938,26.925,
H2O,0_0_0|7_3_5,0_0_0|6_0_6,27.0272,0.4835,1175.04065,642.69672,15,13.0,27.0105,27.044,
H2,0|,0|S_3q,9.66491,9.83e-09,2503.74438,1015.08429,33,21.0,9.6607,9.669,
H2,0|,0|S_1q,17.03485,4.76e-10,1015.08429,170.4762,21,9.0,17.0277,17.041,
CO,1|,0|P_26,4.92041,15.19,4861.56006,1937.45801,51,53.0,4.9181,4.9235,
CO,1|,0|P_27,4.93182,15.08,5003.46875,2086.13403,53,55.0,4.9289,4.9341,
CO,2|,1|P_23,4.94902,29.89,7501.18213,4593.98779,45,47.0,4.9462,4.9519,
CO,2|,1|P_27,4.99472,29.01,8031.38135,5150.78467,53,55.0,4.9926,4.9983,
CO,1|,0|P_57,5.33974,11.95,11743.20117,9048.7334,113,115.0,5.3369,5.3426,
OH,X3/2_0|,X3/2_0|RR_38.5ee,9.47471,529.1,35574.71875,34056.17188,160,156.0,9.4701,9.4811,prompt
OH,X3/2_0|,X3/2_0|RR_37.5ee,9.56748,512.9,34056.17188,32552.34961,156,152.0,9.5629,9.5725,prompt
OH,X3/2_0|,X3/2_0|RR_35.5ee,9.79069,476.5,31064.875,29595.33789,148,144.0,9.7847,9.7971,prompt
OH,X3/2_0|,X3/2_0|RR_32.5ee,10.23102,414.4,26716.4043,25310.11523,136,132.0,10.227,10.238,prompt
OH,X3/2_0|,X3/2_0|RR_19.5ff,14.62227,136.3,10753.83887,9769.87598,84,80.0,14.6141,14.6292,Xhot
OH,X3/2_0|17.0,X3/2_0|RR_15.5ff_16.0,17.73444,74.06,7071.78271,6260.49414,35,33.0,17.7268,17.7424,hot
OH,X3/2_0|13.0,X3/2_0|RR_11.5ff_12.0,23.07386,33.16,4104.08057,3480.52808,27,25.0,23.0592,23.0886,warm
OH,X3/2_0|12.0,X3/2_0|RR_10.5ee_11.0,25.08995,25.65,3472.65063,2899.20361,25,23.0,25.078,25.105,
OH,X3/2_0|11.0,X3/2_0|RR_9.5ff_10.0,27.39351,19.58,2905.8252,2380.59985,23,21.0,27.3779,27.4096,
OH,X1/2_0|10.0,X1/2_0|RR_8.5ff_9.0,27.69665,18.97,2955.73999,2436.26343,21,19.0,27.6749,27.7076,
HI,10,7,8.760064,39000.0,156226.3,,1,,8.7508,8.7708,
HI,12,8,10.503499,12900.0,156708.3,,1,,10.4943,10.511,
HI,8,7,19.06189,227000.0,155338.6,,1,,19.0437,19.0839,
HI,9,7,11.30869,82400.0,155856.1,,1,,11.2969,11.3181,OH contam
