species,lev_up,lev_low,lam,a_stein,e_up,e_low,g_up,g_low
H2O,0_1_0|12_10_2,0_1_0|11_9_3,18.07534,69.72,7286.1709,6490.18164,25,23.0
H2O,0_1_0|12_10_3,0_1_0|11_9_2,18.07534,69.7,7286.1709,6490.18164,75,69.0
H2O,0_0_0|13_10_3,0_0_0|12_9_4,18.15922,63.25,5155.67627,4363.36377,81,75.0
H2O,0_0_0|13_10_4,0_0_0|12_9_3,18.15924,63.24,5155.67627,4363.36523,27,25.0
H2O,0_0_0|12_12_0,0_0_0|11_11_1,18.17548,89.96,5418.9873,4627.38428,25,23.0
H2O,0_0_0|12_12_1,0_0_0|11_11_0,18.17548,89.97,5418.9873,4627.38428,75,69.0
H2O,0_1_0|11_11_0,0_1_0|10_10_1,18.51347,82.21,7247.60791,6470.45605,69,63.0
H2O,0_1_0|11_11_1,0_1_0|10_10_0,18.51347,82.19,7247.60791,6470.45605,23,21.0
H2O,0_0_0|12_11_1,0_0_0|11_10_2,18.53306,74.69,5053.56543,4277.23584,25,23.0
H2O,0_0_0|12_11_2,0_0_0|11_10_1,18.53306,74.69,5053.56543,4277.23584,75,69.0
H2O,0_1_0|12_9_3,0_1_0|11_8_4,18.59269,55.65,6911.62451,6137.78418,25,23.0
H2O,0_1_0|12_9_4,0_1_0|11_8_3,18.59276,55.66,6911.625,6137.78809,75,69.0
H2O,0_0_0|13_9_4,0_0_0|12_8_5,18.7171,50.15,4816.7124,4048.01611,81,75.0
H2O,0_0_0|13_9_5,0_0_0|12_8_4,18.71768,50.12,4816.71045,4048.03857,27,25.0
H2O,0_1_0|11_10_1,0_1_0|10_9_2,18.92897,67.11,6861.86133,6101.76904,69,63.0
H2O,0_1_0|11_10_2,0_1_0|10_9_1,18.92897,67.12,6861.86133,6101.76904,23,21.0
H2O,0_0_0|12_10_2,0_0_0|11_9_3,18.999,60.66,4700.14453,3942.854,25,23.0
H2O,0_0_0|12_10_3,0_0_0|11_9_2,18.999,60.66,4700.14453,3942.854,75,69.0
H2O,0_1_0|12_8_4,0_1_0|11_7_5,19.26027,42.92,6557.3042,5810.28662,25,23.0
H2O,0_1_0|12_8_5,0_1_0|11_7_4,19.26252,42.91,6557.29199,5810.36084,75,69.0
H2O,0_0_0|11_11_1,0_0_0|10_10_0,19.44374,71.96,4627.38379,3887.41455,23,21.0
H2O,0_0_0|11_11_0,0_0_0|10_10_1,19.44374,71.96,4627.38379,3887.41455,69,63.0
H2O,0_1_0|11_9_2,0_1_0|10_8_3,19.47822,53.35,6490.18164,5751.52246,69,63.0
H2O,0_1_0|11_9_3,0_1_0|10_8_2,19.47824,53.35,6490.18164,5751.52246,23,21.0
H2O,0_2_0|10_9_2,0_2_0|9_8_1,19.48122,56.89,8627.82422,7889.2793,63,57.0
H2O,0_0_0|12_9_3,0_0_0|11_8_4,19.59135,47.95,4363.36523,3628.97144,25,23.0
H2O,0_0_0|12_9_4,0_0_0|11_8_3,19.59151,47.95,4363.36377,3628.97656,75,69.0
