wave,flux,err,cont
10.5677,0.014407719664268345,0.0015663786498976658,0.7337604294277268
10.5757,0.01379626840549297,0.0017225924745620108,0.7336016809943791
10.5838,0.009969156943888221,0.0017252275551036592,0.7334729996258561
10.5918,0.012056637587794846,0.0016338363967142446,0.7334377554941918
10.5998,0.013465931608412803,0.0015619134962919798,0.7333412440448772
10.6078,0.013119105679897155,0.0016389931823569508,0.7330681991402669
10.6158,0.008424539240420522,0.0017215861809231642,0.7330885916834807
10.6238,0.0032597912708909283,0.0015643056563129298,0.733142816948199
10.6318,0.00542026405477924,0.001538930708155034,0.7331845544833955
10.6398,0.006111610278346165,0.001687271043312796,0.733202619196939
10.6478,0.006742476186162523,0.001662066343336774,0.7332518115875779
10.6558,0.008674240808012598,0.0014637642319113152,0.7327617037349605
